event_id,event_name,enforcement_date,candidate_firms,gated_firms,excluded_observed_zero,sample_size_S,accuracy,baseline_accuracy,comparator_accuracy_direct_only,coverage,pass
event_0002,US Section 301 List 1,2018-07-06,5,1,1,3,1.000000,0.000000,1.000000,1.000000,true
event_0003,US Section 301 List 2,2018-08-23,4,1,1,2,1.000000,0.000000,1.000000,1.000000,true
